season,week,player_name,gsis_id,position,team,opponent,draft_year,draft_round,player_height,player_weight,fourty,bench,vertical,broad_jump,cone,shuttle,offense_snaps,offense_snap_share,wow_offense_snap_share_change,defense_snaps,defense_snap_share,wow_defense_snap_share_change,special_teams_snaps,special_teams_snap_share,wow_special_teams_snap_share_change,pass_attempts,pass_complete,pass_touchdowns,passing_yards,interceptions,pass_first_downs,pass_2pt_conversions,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,receptions,receiving_yards,receiving_air_yards,receiving_yac,receiving_touchdowns,receiving_first_downs,receiving_2pt_conversions,avg_air_distance,avg_cushion,avg_separation,percent_share_of_intended_air_yards,targets,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,rush_attempts,rushing_yards,rush_touchdowns,rush_first_downs,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,fantasy_points,f_position_rank
2025,1,Hjalte Froholdt,00-0035258,C,ARI,NO,2019,4,77,310,5.2,31.0,27.5,105.0,7.51,4.54,66.0,1.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2025,1,Denzel Burke,00-0040195,CB,ARI,NO,2025,5,71,190,,,,,,,0.0,0.0,,0.0,0.0,,15.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Garrett Williams,00-0039007,CB,ARI,NO,2023,3,70,192,,,,,,,0.0,0.0,,75.0,1.0,,8.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Max Melton,00-0039807,CB,ARI,NO,2024,2,71,187,4.39,,40.5,136.0,,,0.0,0.0,,75.0,1.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Will Johnson,00-0040751,CB,ARI,NO,2025,2,74,200,,,,,,,0.0,0.0,,45.0,0.6,,4.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Calais Campbell,00-0026190,DE,ARI,NO,2008,2,80,315,5.04,16.0,29.5,111.0,7.45,4.69,0.0,0.0,,33.0,0.44,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Dalvin Tomlinson,00-0033546,DE,ARI,NO,2017,2,75,335,5.19,,27.0,110.0,7.68,4.59,0.0,0.0,,25.0,0.33,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Jonah Williams,00-0035944,DE,ARI,NO,2019,1,77,275,5.12,23.0,28.0,100.0,8.01,4.79,66.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2025,1,L.J. Collier,00-0035636,DE,ARI,NO,2019,1,74,300,4.91,25.0,30.0,118.0,7.71,4.78,0.0,0.0,,29.0,0.39,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Darius Robinson,00-0039854,DL,ARI,NO,2024,1,77,285,4.95,21.0,35.0,111.0,,,0.0,0.0,,42.0,0.56,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Dante Stills,00-0038623,DT,ARI,NO,2023,6,76,300,4.85,20.0,28.5,113.0,7.38,4.61,0.0,0.0,,34.0,0.45,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,PJ Mustipher,00-0038795,DT,ARI,NO,,,76,318,5.41,19.0,27.5,96.0,8.01,5.03,0.0,0.0,,11.0,0.15,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Evan Brown,00-0034495,G,ARI,NO,,,75,320,,,,,,,66.0,1.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2025,1,Isaiah Adams,00-0039808,G,ARI,NO,2024,3,76,316,5.22,,24.5,102.0,7.77,4.73,66.0,1.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2025,1,Jon Gaines II,00-0038571,G,ARI,NO,2023,4,76,315,,,,,,,0.0,0.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Chad Ryland,00-0038567,K,ARI,NO,2023,4,72,195,,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Akeem Davis-Gaither,00-0036298,LB,ARI,NO,2020,4,74,238,,21.0,,,,,0.0,0.0,,28.0,0.37,,19.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Baron Browning,00-0036995,LB,ARI,NO,2021,3,75,255,4.58,23.0,40.0,130.0,6.78,4.23,0.0,0.0,,40.0,0.53,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Cody Simon,00-0040645,LB,ARI,NO,2025,4,74,229,,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Jordan Burch,00-0040137,LB,ARI,NO,2025,3,76,279,,,,,,,0.0,0.0,,28.0,0.37,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Mack Wilson,00-0035144,LB,ARI,NO,2019,5,73,240,,,32.0,117.0,,,0.0,0.0,,75.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Owen Pappoe,00-0038600,LB,ARI,NO,2023,5,72,230,4.39,29.0,35.5,126.0,,,0.0,0.0,,0.0,0.0,,20.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Zaven Collins,00-0036933,LB,ARI,NO,2021,1,76,270,4.67,19.0,35.0,122.0,,4.36,0.0,0.0,,37.0,0.49,,9.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Aaron Brewer,00-0028946,LS,ARI,NO,,,77,232,,,,,,,0.0,0.0,,0.0,0.0,,9.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Josh Sweat,00-0034381,OLB,ARI,NO,2018,4,77,265,4.53,,39.5,124.0,,4.28,0.0,0.0,,47.0,0.63,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Josh Fryar,00-0040382,OT,ARI,NO,,,77,320,,,,,,,0.0,0.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Kelvin Beachum,00-0029316,OT,ARI,NO,2012,7,75,308,5.38,19.0,28.5,101.0,7.79,4.8,0.0,0.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Paris Johnson Jr.,00-0038540,OT,ARI,NO,2023,1,78,325,,,,110.0,,,66.0,1.0,,0.0,0.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2025,1,Blake Gillikin,00-0035859,P,ARI,NO,,,74,196,,,,,,,0.0,0.0,,0.0,0.0,,9.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Kyler Murray,00-0035228,QB,ARI,NO,2019,1,70,207,,,,,,,66.0,1.0,,0.0,0.0,,0.0,0.0,,34.0,21.0,2.0,130.0,0.0,11.0,0,2.481,2.76952380952381,5.287586206896551,-2.5180623973727405,10.344827586206897,51.436579396378995,-3.746896551724138,72.41379310344827,76.34620689655172,-3.93241379310345,,,,,,,,,,,,,,,,,7.0,38.0,0.0,3.0,,,,,,,,,17.0,14
2025,1,Emari Demercado,00-0038705,RB,ARI,NO,,,69,215,,,,,,,0.0,0.0,,0.0,0.0,,16.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,James Conner,00-0033553,RB,ARI,NO,2017,3,73,233,4.65,20.0,29.0,113.0,,,43.0,0.65,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,4.0,5.0,-15.0,20.0,1.0,2.0,0,,,,,4.0,,,,,12.0,39.0,0.0,1.0,4.90102564102564,25.0,2.9124545454545454,41.12726498569549,-2.12726498569549,3.25,-0.17727208214129084,0.3333333333333333,12.4,17
2025,1,Trey Benson,00-0039921,RB,ARI,NO,2024,3,72,220,4.39,,33.5,122.0,,,22.0,0.33,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,6.0,-2.0,8.0,0.0,0.0,0,,,,,1.0,,,,,8.0,69.0,0.0,1.0,,,,,,,,,8.0,25
2025,1,Budda Baker,00-0033890,S,ARI,NO,2017,2,70,195,4.45,15.0,32.5,115.0,6.76,4.08,0.0,0.0,,75.0,1.0,,5.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Dadrion Taylor-Demerson,00-0039864,SAF,ARI,NO,2024,4,70,197,4.41,,38.0,123.0,,,0.0,0.0,,50.0,0.67,,14.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Jalen Thompson,00-0035705,SAF,ARI,NO,2019,5,71,190,,,,,,,0.0,0.0,,75.0,1.0,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Joey Blount,00-0037141,SAF,ARI,NO,,,73,195,,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Kitan Crawford,00-0040230,SAF,ARI,NO,2025,7,71,202,,,,,,,0.0,0.0,,0.0,0.0,,22.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2025,1,Elijah Higgins,00-0039041,TE,ARI,NO,2023,6,75,245,4.54,,35.0,126.0,7.01,,20.0,0.3,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,2.0,0.0,0.0,0,,,,,2.0,,,,,,,,,,,,,,,,,0.8,40
2025,1,Tip Reiman,00-0039737,TE,ARI,NO,2024,3,77,271,4.64,28.0,33.5,121.0,7.02,4.26,34.0,0.52,,0.0,0.0,,12.0,0.44,,,,,,,,,,,,,,,,,,,1.0,10.0,5.0,5.0,0.0,1.0,0,,,,,1.0,,,,,,,,,,,,,,,,,1.5,35
2025,1,Travis Vokolek,00-0038456,TE,ARI,NO,,,78,260,,20.0,,115.0,,,3.0,0.05,,0.0,0.0,,12.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44
2025,1,Trey McBride,00-0037744,TE,ARI,NO,2022,2,76,246,,18.0,33.0,117.0,,,64.0,0.97,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,6.0,61.0,35.0,43.0,0.0,4.0,0,3.9411111111111117,5.3575,3.5759041091254145,23.131602973783757,9.0,66.66666666666666,7.2416666666666645,7.686941654335688,-0.4452749876690234,,,,,,,,,,,,,9.100000000000001,12
