season,week,game_id,player,pfr_player_id,position,team,opponent,receptions,targets,team_pass_attempts,team_dropbacks,target_share,targets_per_dropback,wow_target_share_change
2025,1,2025_01_ARI_NO,James Conner,00-0033553,RB,ARI,NO,4,4,29,43.0,0.13793103448275862,0.09302325581395349,
2025,1,2025_01_ARI_NO,Trey Benson,00-0039921,RB,ARI,NO,1,1,29,43.0,0.034482758620689655,0.023255813953488372,
2025,1,2025_01_ARI_NO,Elijah Higgins,00-0039041,TE,ARI,NO,1,2,29,43.0,0.06896551724137931,0.046511627906976744,
2025,1,2025_01_ARI_NO,Tip Reiman,00-0039737,TE,ARI,NO,1,1,29,43.0,0.034482758620689655,0.023255813953488372,
2025,1,2025_01_ARI_NO,Trey McBride,00-0037744,TE,ARI,NO,6,9,29,43.0,0.3103448275862069,0.20930232558139536,
2025,1,2025_01_ARI_NO,Greg Dortch,00-0035500,WR,ARI,NO,1,1,29,43.0,0.034482758620689655,0.023255813953488372,
2025,1,2025_01_ARI_NO,Marvin Harrison Jr.,00-0039849,WR,ARI,NO,5,6,29,43.0,0.20689655172413793,0.13953488372093023,
2025,1,2025_01_ARI_NO,Michael Wilson,00-0038559,WR,ARI,NO,1,4,29,43.0,0.13793103448275862,0.09302325581395349,
2025,1,2025_01_ARI_NO,Zay Jones,00-0033891,WR,ARI,NO,1,1,29,43.0,0.034482758620689655,0.023255813953488372,
2025,1,2025_01_TB_ATL,Bijan Robinson,00-0038542,RB,ATL,TB,6,7,42,48.0,0.16666666666666666,0.14583333333333334,
2025,1,2025_01_TB_ATL,Kyle Pitts,00-0036970,TE,ATL,TB,7,8,42,48.0,0.19047619047619047,0.16666666666666666,
2025,1,2025_01_TB_ATL,Casey Washington,00-0039394,WR,ATL,TB,3,6,42,48.0,0.14285714285714285,0.125,
2025,1,2025_01_TB_ATL,Drake London,00-0037238,WR,ATL,TB,8,15,42,48.0,0.35714285714285715,0.3125,
2025,1,2025_01_TB_ATL,KhaDarel Hodge,00-0034854,WR,ATL,TB,0,1,42,48.0,0.023809523809523808,0.020833333333333332,
2025,1,2025_01_TB_ATL,Ray-Ray McCloud,00-0034407,WR,ATL,TB,3,5,42,48.0,0.11904761904761904,0.10416666666666667,
2025,1,2025_01_BAL_BUF,Derrick Henry,00-0032764,RB,BAL,BUF,1,1,19,24.0,0.05263157894736842,0.041666666666666664,
2025,1,2025_01_BAL_BUF,Justice Hill,00-0034975,RB,BAL,BUF,1,2,19,24.0,0.10526315789473684,0.08333333333333333,
2025,1,2025_01_BAL_BUF,Mark Andrews,00-0034753,TE,BAL,BUF,1,1,19,24.0,0.05263157894736842,0.041666666666666664,
2025,1,2025_01_BAL_BUF,DeAndre Hopkins,00-0030564,WR,BAL,BUF,2,2,19,24.0,0.10526315789473684,0.08333333333333333,
2025,1,2025_01_BAL_BUF,Rashod Bateman,00-0036550,WR,BAL,BUF,2,4,19,24.0,0.21052631578947367,0.16666666666666666,
2025,1,2025_01_BAL_BUF,Zay Flowers,00-0039064,WR,BAL,BUF,7,9,19,24.0,0.47368421052631576,0.375,
2025,1,2025_01_BAL_BUF,James Cook,00-0037248,RB,BUF,BAL,5,5,46,57.0,0.10869565217391304,0.08771929824561403,
2025,1,2025_01_BAL_BUF,Ray Davis,00-0039875,RB,BUF,BAL,1,1,46,57.0,0.021739130434782608,0.017543859649122806,
2025,1,2025_01_BAL_BUF,Ty Johnson,00-0035537,RB,BUF,BAL,0,2,46,57.0,0.043478260869565216,0.03508771929824561,
2025,1,2025_01_BAL_BUF,Dalton Kincaid,00-0038933,TE,BUF,BAL,4,4,46,57.0,0.08695652173913043,0.07017543859649122,
2025,1,2025_01_BAL_BUF,Dawson Knox,00-0035689,TE,BUF,BAL,2,2,46,57.0,0.043478260869565216,0.03508771929824561,
2025,1,2025_01_BAL_BUF,Jackson Hawes,00-0040194,TE,BUF,BAL,1,1,46,57.0,0.021739130434782608,0.017543859649122806,
2025,1,2025_01_BAL_BUF,Elijah Moore,00-0036980,WR,BUF,BAL,1,1,46,57.0,0.021739130434782608,0.017543859649122806,
2025,1,2025_01_BAL_BUF,Josh Palmer,00-0036988,WR,BUF,BAL,5,9,46,57.0,0.1956521739130435,0.15789473684210525,
2025,1,2025_01_BAL_BUF,Keon Coleman,00-0039901,WR,BUF,BAL,8,11,46,57.0,0.2391304347826087,0.19298245614035087,
2025,1,2025_01_BAL_BUF,Khalil Shakir,00-0037261,WR,BUF,BAL,6,9,46,57.0,0.1956521739130435,0.15789473684210525,
2025,1,2025_01_CAR_JAX,Chuba Hubbard,00-0036555,RB,CAR,JAX,3,5,35,41.0,0.14285714285714285,0.12195121951219512,
2025,1,2025_01_CAR_JAX,Rico Dowdle,00-0036139,RB,CAR,JAX,2,3,35,41.0,0.08571428571428572,0.07317073170731707,
2025,1,2025_01_CAR_JAX,Ja'Tavion Sanders,00-0039356,TE,CAR,JAX,2,3,35,41.0,0.08571428571428572,0.07317073170731707,
2025,1,2025_01_CAR_JAX,Tommy Tremble,00-0037005,TE,CAR,JAX,1,1,35,41.0,0.02857142857142857,0.024390243902439025,
2025,1,2025_01_CAR_JAX,Hunter Renfrow,00-0034983,WR,CAR,JAX,2,6,35,41.0,0.17142857142857143,0.14634146341463414,
2025,1,2025_01_CAR_JAX,Tetairoa McMillan,00-0040124,WR,CAR,JAX,5,9,35,41.0,0.2571428571428571,0.21951219512195122,
2025,1,2025_01_CAR_JAX,Xavier Legette,00-0039342,WR,CAR,JAX,3,7,35,41.0,0.2,0.17073170731707318,
2025,1,2025_01_MIN_CHI,D'Andre Swift,00-0036275,RB,CHI,MIN,3,5,35,45.0,0.14285714285714285,0.1111111111111111,
2025,1,2025_01_MIN_CHI,Kyle Monangai,00-0040236,RB,CHI,MIN,1,1,35,45.0,0.02857142857142857,0.022222222222222223,
2025,1,2025_01_MIN_CHI,Cole Kmet,00-0036290,TE,CHI,MIN,1,4,35,45.0,0.11428571428571428,0.08888888888888889,
2025,1,2025_01_MIN_CHI,Colston Loveland,00-0040126,TE,CHI,MIN,2,2,35,45.0,0.05714285714285714,0.044444444444444446,
2025,1,2025_01_MIN_CHI,DJ Moore,00-0034827,WR,CHI,MIN,3,5,35,45.0,0.14285714285714285,0.1111111111111111,
